video_id,channelTitle,title,description,publishedAt,viewCount,likeCount,favouriteCount,commentCount,duration,definition,caption,Release_Time,Release_Year,Release_Month, Release_Day,Date,TotalSecs
cyd44HgRrZc,MavinRecords,Crayon - Ijo (Laba Laba) Prod. by Sarz [Official Audio],"Crayon - Ijo (Laba Laba) [Official Audio]
STREAM Ijo (Laba Laba): https://crayon.lnk.to/ijolaba-laba

Follow CRAYON:
Instagram: https://instagram.com/crayonthis​
Twitter: https://twitter.com/crayonthis
Facebook: https://facebook.com/crayonthiss
TikTok: https://www.tiktok.com/@crayway
Triller: https://triller.co/@crayonthis


#ijolabalaba #crayon #sarz",2022-07-07 14:45:11,19955,1546,0,99,PT3M5S,hd,false,1900-01-01 14:45:11,2022,July,Thursday,2022-07-07,185.0
v8SNlvR86xc,MavinRecords,"Mavins, Crayon, Ayra Starr, LADIPOE, Magixx & Boy Spyce - Overloading (OVERDOSE) [Performance Video]","Mavins, Crayon, Ayra Starr, LADIPOE, Magixx & Boy Spyce - Overloading (OVERDOSE) [Performance Video]

Stream Overloading(OVERDOSE): https://mavinrecords.link/overdose
Listen to The Official Mavin at 10 Playlist: https://mavinrecords.link/mavin-10

#mavin #overloading #overdose",2022-05-13 11:00:38,11105360,174269,0,6014,PT3M24S,hd,false,1900-01-01 11:00:38,2022,May,Friday,2022-05-13,204.0
A_09215NMNY,MavinRecords,"Mavins, Crayon, Ayra Starr, LADIPOE, Magixx & Boy Spyce - Overdose (Official Audio)","Mavins, Crayon, Ayra Starr, LADIPOE, Magixx & Boy Spyce - Overdose (Official Audio)

Stream OVERDOSE: https://mavinrecords.link/overdose
Listen to The Official Mavin at 10 Playlist: https://mavinrecords.link/mavin-10

#mavin #overdose",2022-05-12 22:59:37,729471,16044,0,892,PT3M26S,hd,false,1900-01-01 22:59:37,2022,May,Thursday,2022-05-12,206.0
XpqWIJEc_y0,MavinRecords,Boy Spyce - Nobody (Official Music Video),"Boy Spyce - Nobody
Stream BOY SPYCE EP: https://mavinrecords.link/boyspyce-ep

Follow Boy Spyce
Facebook: https://www.facebook.com/boyspyceofficial
Instagram: https://www.instagram.com/boyspyce/
Twitter: https://twitter.com/BoySpyce
TikTok: https://www.tiktok.com/@boyspyce
YouTube: https://www.youtube.com/channel/UCFOma6uRrqRCaVPXYfDFlaQ
Apple Music: https://music.apple.com/artist/boy-spyce/1560296760
Spotify: https://open.spotify.com/artist/6DUbLg2GQ7Dd7G9v6uwoPT?si=R8vZJibARiKn1T6FBxpx9Q

#boyspyce #nobody",2022-04-15 10:00:16,1546309,34871,0,1129,PT2M58S,hd,false,1900-01-01 10:00:16,2022,April,Friday,2022-04-15,178.0
NwuOq8mItY4,MavinRecords,Boy Spyce - Nobody (Official Lyric Audio),"Boy Spyce - Nobody
Stream BOY SPYCE EP: https://mavinrecords.link/boyspyce-ep

Follow Boy Spyce
Facebook: https://www.facebook.com/boyspyceofficial
Instagram: https://www.instagram.com/boyspyce/
Twitter: https://twitter.com/BoySpyce
TikTok: https://www.tiktok.com/@boyspyce
YouTube: https://www.youtube.com/channel/UCFOma6uRrqRCaVPXYfDFlaQ
Apple Music: https://music.apple.com/artist/boy-spyce/1560296760
Spotify: https://open.spotify.com/artist/6DUbLg2GQ7Dd7G9v6uwoPT?si=R8vZJibARiKn1T6FBxpx9Q

#boyspyce #nobody",2022-04-14 23:04:51,55228,1711,0,54,PT2M42S,hd,false,1900-01-01 23:04:51,2022,April,Thursday,2022-04-14,162.0
tAPa04I6ZqE,MavinRecords,Boy Spyce - Bad Things (Official Lyric Audio),"Boy Spyce - Bad Things
Stream BOY SPYCE EP: https://mavinrecords.link/boyspyce-ep

Follow Boy Spyce
Facebook: https://www.facebook.com/boyspyceofficial
Instagram: https://www.instagram.com/boyspyce/
Twitter: https://twitter.com/BoySpyce
TikTok: https://www.tiktok.com/@boyspyce
YouTube: https://www.youtube.com/channel/UCFOma6uRrqRCaVPXYfDFlaQ
Apple Music: https://music.apple.com/artist/boy-spyce/1560296760
Spotify: https://open.spotify.com/artist/6DUbLg2GQ7Dd7G9v6uwoPT?si=R8vZJibARiKn1T6FBxpx9Q

#boyspyce #badthings",2022-04-14 23:04:48,75699,2445,0,135,PT2M51S,hd,false,1900-01-01 23:04:48,2022,April,Thursday,2022-04-14,171.0
jA7pV3c-1qc,MavinRecords,Boy Spyce - Wayo (Official Lyric Audio),"Boy Spyce - Wayo
Stream BOY SPYCE EP: https://mavinrecords.link/boyspyce-ep

Follow Boy Spyce
Facebook: https://www.facebook.com/boyspyceofficial
Instagram: https://www.instagram.com/boyspyce/
Twitter: https://twitter.com/BoySpyce
TikTok: https://www.tiktok.com/@boyspyce
YouTube: https://www.youtube.com/channel/UCFOma6uRrqRCaVPXYfDFlaQ
Apple Music: https://music.apple.com/artist/boy-spyce/1560296760
Spotify: https://open.spotify.com/artist/6DUbLg2GQ7Dd7G9v6uwoPT?si=R8vZJibARiKn1T6FBxpx9Q

#boyspyce #wayo",2022-04-14 23:04:43,76649,2477,0,113,PT2M42S,hd,false,1900-01-01 23:04:43,2022,April,Thursday,2022-04-14,162.0
LFvfimQCgOY,MavinRecords,Boy Spyce - Dreams (Official Lyric Audio),"Boy Spyce - Dreams
Stream BOY SPYCE EP: https://mavinrecords.link/boyspyce-ep

Follow Boy Spyce
Facebook: https://www.facebook.com/boyspyceofficial
Instagram: https://www.instagram.com/boyspyce/
Twitter: https://twitter.com/BoySpyce
TikTok: https://www.tiktok.com/@boyspyce
YouTube: https://www.youtube.com/channel/UCFOma6uRrqRCaVPXYfDFlaQ
Apple Music: https://music.apple.com/artist/boy-spyce/1560296760
Spotify: https://open.spotify.com/artist/6DUbLg2GQ7Dd7G9v6uwoPT?si=R8vZJibARiKn1T6FBxpx9Q

#boyspyce #dreams",2022-04-14 23:04:39,122931,4277,0,289,PT3M14S,hd,false,1900-01-01 23:04:39,2022,April,Thursday,2022-04-14,194.0
RFzjNvxZoY4,MavinRecords,Boy Spyce - Destiny (Official Lyric Video),"Boy Spyce - Nobody
Stream BOY SPYCE EP: https://mavinrecords.link/boyspyce-ep

Follow Boy Spyce
Facebook: https://www.facebook.com/boyspyceofficial
Instagram: https://www.instagram.com/boyspyce/
Twitter: https://twitter.com/BoySpyce
TikTok: https://www.tiktok.com/@boyspyce
YouTube: https://www.youtube.com/channel/UCFOma6uRrqRCaVPXYfDFlaQ
Apple Music: https://music.apple.com/artist/boy-spyce/1560296760
Spotify: https://open.spotify.com/artist/6DUbLg2GQ7Dd7G9v6uwoPT?si=R8vZJibARiKn1T6FBxpx9Q

#boyspyce #destiny",2022-04-14 23:04:34,230171,5829,0,458,PT2M58S,hd,false,1900-01-01 23:04:34,2022,April,Thursday,2022-04-14,178.0
yKFXiLQjhP8,MavinRecords,Mavin International Women's Day (Event Highlight),"#breakthebias #mavin #women

Highlight of our Women's Day Soiree. 

Music: Bridgertn by Ayra Starr
Location: Turáká Lagos at EbonyLife Place",2022-03-30 19:39:54,6017,420,0,19,PT1M34S,hd,false,1900-01-01 19:39:54,2022,March,Wednesday,2022-03-30,94.0
