video_id,channelTitle,title,description,publishedAt,viewCount,likeCount,favouriteCount,commentCount,duration,definition,caption,Release_Time,Release_Month, Release_Day,TotalSecs,Date
v8SNlvR86xc,MavinRecords,"Mavins, Crayon, Ayra Starr, LADIPOE, Magixx & Boy Spyce - Overloading (OVERDOSE) [Performance Video]","Mavins, Crayon, Ayra Starr, LADIPOE, Magixx & Boy Spyce - Overloading (OVERDOSE) [Performance Video]

Stream Overloading(OVERDOSE): https://mavinrecords.link/overdose

#mavin #overloading #overdose",2022-05-13 11:00:38,2020111,69692,0.0,3345.0,PT3M24S,hd,false,1900-01-01 11:00:38,May,Friday,204.0,2022-05-13
A_09215NMNY,MavinRecords,"Mavins, Crayon, Ayra Starr, LADIPOE, Magixx & Boy Spyce - Overdose (Official Audio)","Mavins, Crayon, Ayra Starr, LADIPOE, Magixx & Boy Spyce - Overdose (Official Audio)
Stream OVERDOSE: https://mavinrecords.link/overdose





#mavin #overdose",2022-05-12 22:59:37,328087,12167,0.0,849.0,PT3M26S,hd,false,1900-01-01 22:59:37,May,Thursday,206.0,2022-05-12
XpqWIJEc_y0,MavinRecords,Boy Spyce - Nobody (Official Music Video),"Boy Spyce - Nobody
Stream BOY SPYCE EP: https://mavinrecords.link/boyspyce-ep

Follow Boy Spyce
Facebook: https://www.facebook.com/boyspyceofficial
Instagram: https://www.instagram.com/boyspyce/
Twitter: https://twitter.com/BoySpyce
TikTok: https://www.tiktok.com/@boyspyce
YouTube: https://www.youtube.com/channel/UCFOma6uRrqRCaVPXYfDFlaQ
Apple Music: https://music.apple.com/artist/boy-spyce/1560296760
Spotify: https://open.spotify.com/artist/6DUbLg2GQ7Dd7G9v6uwoPT?si=R8vZJibARiKn1T6FBxpx9Q

#boyspyce #nobody",2022-04-15 10:00:16,915628,24702,0.0,967.0,PT2M58S,hd,false,1900-01-01 10:00:16,April,Friday,178.0,2022-04-15
NwuOq8mItY4,MavinRecords,Boy Spyce - Nobody (Official Lyric Audio),"Boy Spyce - Nobody
Stream BOY SPYCE EP: https://mavinrecords.link/boyspyce-ep

Follow Boy Spyce
Facebook: https://www.facebook.com/boyspyceofficial
Instagram: https://www.instagram.com/boyspyce/
Twitter: https://twitter.com/BoySpyce
TikTok: https://www.tiktok.com/@boyspyce
YouTube: https://www.youtube.com/channel/UCFOma6uRrqRCaVPXYfDFlaQ
Apple Music: https://music.apple.com/artist/boy-spyce/1560296760
Spotify: https://open.spotify.com/artist/6DUbLg2GQ7Dd7G9v6uwoPT?si=R8vZJibARiKn1T6FBxpx9Q

#boyspyce #nobody",2022-04-14 23:04:51,40885,1281,0.0,54.0,PT2M42S,hd,false,1900-01-01 23:04:51,April,Thursday,162.0,2022-04-14
tAPa04I6ZqE,MavinRecords,Boy Spyce - Bad Things (Official Lyric Audio),"Boy Spyce - Bad Things
Stream BOY SPYCE EP: https://mavinrecords.link/boyspyce-ep

Follow Boy Spyce
Facebook: https://www.facebook.com/boyspyceofficial
Instagram: https://www.instagram.com/boyspyce/
Twitter: https://twitter.com/BoySpyce
TikTok: https://www.tiktok.com/@boyspyce
YouTube: https://www.youtube.com/channel/UCFOma6uRrqRCaVPXYfDFlaQ
Apple Music: https://music.apple.com/artist/boy-spyce/1560296760
Spotify: https://open.spotify.com/artist/6DUbLg2GQ7Dd7G9v6uwoPT?si=R8vZJibARiKn1T6FBxpx9Q

#boyspyce #badthings",2022-04-14 23:04:48,60672,2193,0.0,124.0,PT2M51S,hd,false,1900-01-01 23:04:48,April,Thursday,171.0,2022-04-14
jA7pV3c-1qc,MavinRecords,Boy Spyce - Wayo (Official Lyric Audio),"Boy Spyce - Wayo
Stream BOY SPYCE EP: https://mavinrecords.link/boyspyce-ep

Follow Boy Spyce
Facebook: https://www.facebook.com/boyspyceofficial
Instagram: https://www.instagram.com/boyspyce/
Twitter: https://twitter.com/BoySpyce
TikTok: https://www.tiktok.com/@boyspyce
YouTube: https://www.youtube.com/channel/UCFOma6uRrqRCaVPXYfDFlaQ
Apple Music: https://music.apple.com/artist/boy-spyce/1560296760
Spotify: https://open.spotify.com/artist/6DUbLg2GQ7Dd7G9v6uwoPT?si=R8vZJibARiKn1T6FBxpx9Q

#boyspyce #wayo",2022-04-14 23:04:43,62497,2230,0.0,109.0,PT2M42S,hd,false,1900-01-01 23:04:43,April,Thursday,162.0,2022-04-14
LFvfimQCgOY,MavinRecords,Boy Spyce - Dreams (Official Lyric Audio),"Boy Spyce - Dreams
Stream BOY SPYCE EP: https://mavinrecords.link/boyspyce-ep

Follow Boy Spyce
Facebook: https://www.facebook.com/boyspyceofficial
Instagram: https://www.instagram.com/boyspyce/
Twitter: https://twitter.com/BoySpyce
TikTok: https://www.tiktok.com/@boyspyce
YouTube: https://www.youtube.com/channel/UCFOma6uRrqRCaVPXYfDFlaQ
Apple Music: https://music.apple.com/artist/boy-spyce/1560296760
Spotify: https://open.spotify.com/artist/6DUbLg2GQ7Dd7G9v6uwoPT?si=R8vZJibARiKn1T6FBxpx9Q

#boyspyce #dreams",2022-04-14 23:04:39,102937,3888,0.0,281.0,PT3M14S,hd,false,1900-01-01 23:04:39,April,Thursday,194.0,2022-04-14
RFzjNvxZoY4,MavinRecords,Boy Spyce - Destiny (Official Lyric Video),"Boy Spyce - Nobody
Stream BOY SPYCE EP: https://mavinrecords.link/boyspyce-ep

Follow Boy Spyce
Facebook: https://www.facebook.com/boyspyceofficial
Instagram: https://www.instagram.com/boyspyce/
Twitter: https://twitter.com/BoySpyce
TikTok: https://www.tiktok.com/@boyspyce
YouTube: https://www.youtube.com/channel/UCFOma6uRrqRCaVPXYfDFlaQ
Apple Music: https://music.apple.com/artist/boy-spyce/1560296760
Spotify: https://open.spotify.com/artist/6DUbLg2GQ7Dd7G9v6uwoPT?si=R8vZJibARiKn1T6FBxpx9Q

#boyspyce #destiny",2022-04-14 23:04:34,151526,4971,0.0,420.0,PT2M58S,hd,false,1900-01-01 23:04:34,April,Thursday,178.0,2022-04-14
yKFXiLQjhP8,MavinRecords,Mavin International Women's Day (Event Highlight),"#breakthebias #mavin #women

Highlight of our Women's Day Soiree. 

Music: Bridgertn by Ayra Starr
Location: Turáká Lagos at EbonyLife Place",2022-03-30 19:39:54,5013,247,0.0,18.0,PT1M34S,hd,false,1900-01-01 19:39:54,March,Wednesday,94.0,2022-03-30
divDTLBDmCw,MavinRecords,Magixx - Chocolate (Lyric Video),"Magixx - Chocolate
Stream here: https://magixx.lnk.to/chocolate

Stream 
MAGIXX EP: https://mavinrecords.link/magixx

Follow MAGIXX
Facebook: https://www.facebook.com/kingmagixx
Instagram: https://www.instagram.com/iam_magixx/
Twitter: https://twitter.com/iam_magixx
TikTok: https://www.tiktok.com/@king.magixx
YouTube: https://www.youtube.com/channel/UCxB1Xmz7BomgGotLDMLAUdQ
Apple Music: https://music.apple.com/artist/magixx/1364115145
Spotify: https://open.spotify.com/artist/0rskhjcLm5BxjwZDRs4142?si=cnfNoJxfTbidMrGGyvxtiA&dl_branch=1

#magixx #chocolate",2022-03-01 23:04:23,68815,2327,0.0,98.0,PT2M17S,hd,false,1900-01-01 23:04:23,March,Tuesday,137.0,2022-03-01
