playlstid,published_date,playlist title,no of playlist videos
PLJXqXn02h7m0kUZXnuRr5fcYr6soUXYsV,2022-04-14T23:06:04Z,Boy Spyce - FULL EP,6
PLJXqXn02h7m0YbuXZ_PF6UTQctabDIKEb,2021-11-03T23:48:01Z,Providence EP,6
PLJXqXn02h7m0S7CrHIgS1mK9wKdrXMQ5Z,2021-09-23T23:15:39Z,Magixx EP,8
PLJXqXn02h7m3V-Hk2KsxrA5QenpMAJiR7,2021-09-04T13:28:22Z,Before We Fall Asleep (FULL ALBUM),14
PLJXqXn02h7m33QWHWqJ7mTgudO4QxOL6D,2021-08-05T22:55:04Z,19 & Dangerous (FULL ALBUM),12
PLJXqXn02h7m1qq6VLaUzOrwwJG4ExoECz,2021-04-28T12:44:56Z,Latin Covers,2
PLJXqXn02h7m2lx7mtOW_Z_7d_SEXACrEm,2021-04-15T13:30:23Z,Future Five,1
PLJXqXn02h7m1OXaMngqPtYQF-VkV3SNtk,2021-03-25T23:05:17Z,Crayon - Twelve A.M (EP),9
PLJXqXn02h7m1IfH_eVxhyShNtLQO7Hp7U,2021-03-23T20:05:49Z,Dance Red Save Lives III,4
PLJXqXn02h7m2bhsGA-_d-2pKKSzvUGgwK,2021-01-21T14:12:07Z,Ayra Starr EP,6
PLJXqXn02h7m1ZAzcECNckXC62ekbtDlBa,2020-10-17T03:11:14Z,The Revolution #EndSARS,32
PLJXqXn02h7m1gQcKEB_6420r--gh5l5WI,2020-08-09T16:50:54Z,CRAYON,9
PLJXqXn02h7m0sMECyjHEHRN26HIfvOU07,2020-05-28T15:32:50Z,DNA - Gemini EP,4
PLJXqXn02h7m04bqEp5fabS2nmi7TS4Axg,2020-05-11T11:34:48Z,Ladipoe - Know You,2
PLJXqXn02h7m1mn_zlXEvqF9y_mYbaw5FI,2020-05-07T14:38:27Z,Dr Sid - The Interesting EP,6
PLJXqXn02h7m3QKzmc7B18LUuJSFI4ezhj,2020-04-11T13:42:25Z,Mavin Dance Priorities,9
PLJXqXn02h7m2QfEietsE7ey08fkyY3d5s,2019-09-06T17:55:52Z,Johnny Drille 1,12
PLJXqXn02h7m2-y09RvxbNeF8DuyYTPtKE,2019-07-12T05:38:45Z,Cray Cray EP by Crayon,6
PLJXqXn02h7m3ZbC0GEQVInEmvgPP-3Qk2,2019-07-04T20:51:31Z,Di'Ja EP,6
PLJXqXn02h7m3xT18Vcw58Iv7b1ArAb2Wo,2019-05-03T11:05:28Z,D'Prince - Lavida,3
PLJXqXn02h7m3kaUNS1i1O-i1R6FNa3uVd,2019-04-05T18:45:07Z,Rema - Dumebi,3
PLJXqXn02h7m1rMtoYI_NvE3vH0VPFTFmz,2019-03-27T15:10:29Z,Rema,2
PLJXqXn02h7m3YveB8KbtcMT2mOGTwTGFJ,2019-03-24T20:58:35Z,More Music From Rema,3
PLJXqXn02h7m0wQR6xMqPj0eZaXwUBndXq,2019-03-20T02:16:25Z,Rema - The Rema EP,6
PLJXqXn02h7m0lKGJ8tZZsn_LX6lTSs28v,2019-03-15T19:29:34Z,"Mavins, Crayon, Ayra Starr, LADIPOE, Magixx & Boy Spyce - Overdose (Performance Video)",36
PLJXqXn02h7m0KIgj4xWsJ6Txr70tFamz5,2019-03-11T11:48:31Z,LADIPOE - Jaiye,6
PLJXqXn02h7m1jaUaZIcuKB9FXtFmLz6_e,2019-03-08T00:13:19Z,DNA - Star and Ayo,7
PLJXqXn02h7m322h_cAzzjKEUVGFPFaQ3k,2019-01-31T17:43:17Z,Johnny Drille - Shine | Forever,2
PLJXqXn02h7m1wcZzvbum0lJrnGcsDGoYa,2019-01-31T17:42:53Z,Johnny Drille - Shine | Forever,0
PLJXqXn02h7m2q8kwbszOgWr1IERQoQbcV,2019-01-04T00:48:31Z,Best of Mavin Records,12
PLJXqXn02h7m2qozS1cddt311JQCtp8b7s,2018-10-12T03:13:40Z,Ladipoe - T.A.P ( Talk About Poe ),20
PLJXqXn02h7m0AMnwbxEOJdxZmhazOx5F3,2018-05-15T12:38:15Z,Dj Big N,9
PLJXqXn02h7m0LLEnPayLIt1rGLPDAJ6Z3,2018-05-08T14:37:39Z,Singles,32
PLJXqXn02h7m2KKBIi9bERVxN6-ixzx-AF,2017-12-14T21:57:37Z,Aphrodija EP,8
PLJXqXn02h7m3veicqxjusQFeR7BRxrWtJ,2017-09-26T19:45:07Z,Sugarcane EP by Tiwa Savage,6
PLJXqXn02h7m2e0Kx5FAdpATxFd5WthLZ6,2017-07-24T09:49:51Z,Lyrics Videos,9
PLJXqXn02h7m38EfnLaSdG5QOe1Y8YeyWY,2017-07-06T20:41:33Z,D'Prince : So Nice x Mofe x Guys,4
PLJXqXn02h7m0OZZWniee9DbDauCkfvIQ8,2017-06-28T16:56:32Z,LADIPOE,25
PLJXqXn02h7m27faaFkxQBM8rbIVbzKmWI,2017-04-09T19:02:31Z,DNA,6
